Symbol,Date,Open,High,Low,Close,Volume
XSP.IDX,16-06-2014,193.48,194.12,193.09,193.78,0
XSP.IDX,17-06-2014,193.72,194.37,193.36,194.2,0
XSP.IDX,18-06-2014,194.27,195.77,193.93,195.7,0
XSP.IDX,19-06-2014,195.75,195.99,195.23,195.95,0
XSP.IDX,20-06-2014,196.05,196.39,195.92,196.29,0
XSP.IDX,23-06-2014,196.29,196.37,195.89,196.26,0
XSP.IDX,24-06-2014,196.2,196.82,194.83,195,0
XSP.IDX,25-06-2014,194.93,196.08,194.75,195.95,0
XSP.IDX,26-06-2014,195.99,195.99,194.47,195.72,0
XSP.IDX,27-06-2014,195.66,196.15,195.22,196.1,0
XSP.IDX,30-06-2014,196.08,196.42,195.82,196.02,0
XSP.IDX,01-07-2014,196.23,197.86,196.23,197.33,0
XSP.IDX,02-07-2014,197.31,197.67,197.26,197.46,0
XSP.IDX,03-07-2014,197.59,198.56,197.59,198.54,0
XSP.IDX,04-07-2014,198.54,198.54,198.54,198.54,0
XSP.IDX,07-07-2014,198.42,198.42,197.49,197.77,0
XSP.IDX,08-07-2014,197.64,197.64,195.95,196.37,0
XSP.IDX,09-07-2014,196.51,197.42,196.51,197.28,0
XSP.IDX,10-07-2014,196.67,196.98,195.29,196.47,0
XSP.IDX,11-07-2014,196.58,196.87,195.96,196.76,0
XSP.IDX,14-07-2014,196.99,197.99,196.99,197.71,0
XSP.IDX,15-07-2014,197.74,198.25,196.53,197.33,0
XSP.IDX,16-07-2014,197.64,198.39,197.57,198.16,0
XSP.IDX,17-07-2014,197.98,198.18,195.56,195.81,0
XSP.IDX,18-07-2014,196.15,197.99,196.08,197.82,0
XSP.IDX,21-07-2014,197.69,197.69,196.58,197.36,0
XSP.IDX,22-07-2014,197.57,198.62,197.57,198.35,0
XSP.IDX,23-07-2014,198.53,198.92,198.24,198.7,0
XSP.IDX,24-07-2014,198.81,199.14,198.58,198.8,0
XSP.IDX,25-07-2014,198.46,198.46,197.44,197.83,0
XSP.IDX,28-07-2014,197.83,198.15,196.73,197.89,0
XSP.IDX,29-07-2014,198,198.49,197,197,0
XSP.IDX,30-07-2014,197.32,197.89,196.24,197.01,0
XSP.IDX,31-07-2014,196.51,196.51,193.07,193.07,0
XSP.IDX,01-08-2014,192.98,193.7,191.64,192.52,0
XSP.IDX,04-08-2014,192.66,194.29,192.12,193.9,0
XSP.IDX,05-08-2014,193.63,193.63,191.38,192.02,0
XSP.IDX,06-08-2014,191.73,192.79,191.15,192.02,0
XSP.IDX,07-08-2014,192.3,192.89,190.48,190.96,0
XSP.IDX,08-08-2014,191.04,193.24,190.9,193.16,0
XSP.IDX,11-08-2014,193.34,194.49,193.34,193.69,0
XSP.IDX,12-08-2014,193.57,193.97,192.83,193.38,0
XSP.IDX,13-08-2014,193.56,194.84,193.56,194.67,0
XSP.IDX,14-08-2014,194.74,195.52,194.74,195.52,0
XSP.IDX,15-08-2014,195.89,196.4,194.15,195.51,0
